,Average Maximum Surface Air Temperature (°C)
1901,30.02
1902,30.02
1903,29.97
1904,29.9
1905,30
1906,29.93
1907,29.75
1908,29.92
1909,29.8
1910,29.85
1911,30.16
1912,30.17
1913,30.16
1914,30.35
1915,30.28
1916,30.14
1917,30
1918,29.9
1919,30.22
1920,30.08
1921,29.93
1922,29.98
1923,29.91
1924,29.88
1925,29.99
1926,30.22
1927,30.12
1928,30.16
1929,30.01
1930,30.27
1931,30.29
1932,29.99
1933,30.01
1934,29.88
1935,30.14
1936,30.05
1937,30.1
1938,29.94
1939,29.96
1940,30.19
1941,30.67
1942,30.01
1943,30.09
1944,30.07
1945,30.04
1946,30.03
1947,30.07
1948,30.22
1949,30.16
1950,30.23
1951,30.14
1952,30.04
1953,30.28
1954,30.09
1955,30.01
1956,29.75
1957,30.19
1958,30.36
1959,30.03
1960,30.12
1961,29.87
1962,29.62
1963,29.68
1964,29.76
1965,29.72
1966,29.99
1967,29.74
1968,29.9
1969,30.02
1970,29.89
1971,29.83
1972,30.35
1973,30.24
1974,29.88
1975,29.88
1976,29.76
1977,29.91
1978,30.12
1979,30.24
1980,30.19
1981,30.32
1982,30.34
1983,30.58
1984,29.74
1985,30.09
1986,30.1
1987,30.41
1988,30.13
1989,30.09
1990,30.48
1991,30.36
1992,30.38
1993,30.23
1994,30.29
1995,30.2
1996,30.14
1997,30.55
1998,30.83
1999,30.19
2000,30.39
2001,30.5
2002,30.78
2003,30.48
2004,30.46
2005,30.51
2006,30.37
2007,30.21
2008,30.02
2009,30.41
2010,30.54
2011,30.26
2012,30.55
2013,30.6
2014,30.59
2015,30.8
2016,31
2017,31.11
2018,31.73
2019,32.04
2020,32.03
2021,31.81
2022,31.38
2023,30.88
2024,31.02
