,Average Minimum Surface Air Temperature (°C)
1901,21.55
1902,21.55
1903,21.5
1904,21.42
1905,21.52
1906,21.63
1907,21.64
1908,21.52
1909,21.65
1910,21.58
1911,21.8
1912,21.91
1913,21.79
1914,21.88
1915,21.9
1916,21.66
1917,21.54
1918,21.46
1919,21.92
1920,21.9
1921,21.8
1922,21.84
1923,21.79
1924,21.86
1925,21.67
1926,21.76
1927,21.69
1928,21.67
1929,21.56
1930,21.7
1931,21.88
1932,21.63
1933,21.7
1934,21.61
1935,21.78
1936,21.84
1937,21.85
1938,21.85
1939,21.75
1940,21.87
1941,22.34
1942,21.57
1943,21.44
1944,21.51
1945,21.54
1946,21.61
1947,21.7
1948,21.72
1949,21.71
1950,21.76
1951,21.71
1952,21.74
1953,21.66
1954,21.5
1955,21.36
1956,21.31
1957,21.69
1958,21.83
1959,21.68
1960,21.72
1961,21.39
1962,21.44
1963,21.49
1964,21.44
1965,21.22
1966,21.53
1967,21.25
1968,21.18
1969,21.54
1970,21.51
1971,21.3
1972,21.53
1973,21.82
1974,21.38
1975,21.38
1976,21.13
1977,21.49
1978,21.53
1979,21.59
1980,21.55
1981,21.66
1982,21.66
1983,22.05
1984,21.5
1985,21.54
1986,21.67
1987,22.08
1988,22.05
1989,21.69
1990,22.01
1991,22.14
1992,21.94
1993,21.94
1994,22.04
1995,22.22
1996,22.1
1997,22.34
1998,22.78
1999,22.18
2000,22.26
2001,22.34
2002,22.41
2003,22.34
2004,22.23
2005,22.27
2006,22.23
2007,22.25
2008,22.07
2009,22.26
2010,22.42
2011,22.25
2012,22.32
2013,22.47
2014,22.3
2015,22.57
2016,22.91
2017,21.94
2018,21.4
2019,21.66
2020,21.42
2021,21.2
2022,21.36
2023,22.73
2024,23.15
