Entity,Code,Year,Forest area
Malaysia,MYS,1990,20618500
Malaysia,MYS,1991,20525785
Malaysia,MYS,1992,20433070
Malaysia,MYS,1993,20340355
Malaysia,MYS,1994,20247640
Malaysia,MYS,1995,20154925
Malaysia,MYS,1996,20062210
Malaysia,MYS,1997,19969495
Malaysia,MYS,1998,19876780
Malaysia,MYS,1999,19784065
Malaysia,MYS,2000,19691350
Malaysia,MYS,2001,19616980
Malaysia,MYS,2002,19542610
Malaysia,MYS,2003,19468240
Malaysia,MYS,2004,19393870
Malaysia,MYS,2005,19319500
Malaysia,MYS,2006,19245130
Malaysia,MYS,2007,19170760
Malaysia,MYS,2008,19096390
Malaysia,MYS,2009,19022020
Malaysia,MYS,2010,18947650
Malaysia,MYS,2011,19050964
Malaysia,MYS,2012,19154278.000000004
Malaysia,MYS,2013,19257592
Malaysia,MYS,2014,19360906.000000004
Malaysia,MYS,2015,19464220
Malaysia,MYS,2016,19394183.999999996
Malaysia,MYS,2017,19324148
Malaysia,MYS,2018,19254112
Malaysia,MYS,2019,19184076
Malaysia,MYS,2020,19114040
