Entity,Code,Year,Greenhouse gas emissions from agriculture,Greenhouse gas emissions from land-use change and forestry,Greenhouse gas emissions from waste,Greenhouse gas emissions from buildings,Greenhouse gas emissions from industry,Greenhouse gas emissions from manufacturing and construction,Greenhouse gas emissions from transport,Greenhouse gas emissions from electricity and heat,Fugitive emissions of greenhouse gases from energy production,Greenhouse gas emissions from other fuel combustion,Greenhouse gas emissions from bunker fuels
Malaysia,MYS,1990,8750000,108350000,5590000,2370000,3930000,14090000,14930000,19030000,14260000,,1820000
Malaysia,MYS,1991,8330000,108350000,5760000,2300000,4159999.8,15470000,16059999,26530000,15330000,410000,2020000
Malaysia,MYS,1992,8640000,108350000,5940000,2430000,4179999.8,16770000,17170000,26170000,14560000,1220000,2089999.9
Malaysia,MYS,1993,8870000,108340000,6300000,2760000,4350000,17900000,17880000,29880000,15680000,190000,2320000
Malaysia,MYS,1994,9150000,108340000,6400000,2810000,4890000,18520000,19760000,31500000,17720000,1320000,3160000
Malaysia,MYS,1995,9020000,108020000,6670000,2980000,5190000,20340000,21020000,34790000,18730000,1390000,3340000
Malaysia,MYS,1996,8840000,104710000,6930000,4159999.8,5760000,23900000,24010000,38350000,20400000,1520000,3830000
Malaysia,MYS,1997,9510000,106660000,7210000,3190000,6190000,23930000,27620000,42100000,22160000,1520000,4020000
Malaysia,MYS,1998,9780000,136610000,7190000,3280000,6500000,23720000,25830000,44960000,21020000,960000,5370000
Malaysia,MYS,1999,9320000,104440000,7800000,4050000.2,6830000,23140000,31220000,48730000,20520000,330000,4770000
Malaysia,MYS,2000,9350000,104950000,8010000,4120000,8279999.5,25960000,33020000,52780000,21250000,330000,4500000
Malaysia,MYS,2001,9310000,89970000,8359999.5,4030000.2,8400000,26530000,35840000,54950000,21670000,310000,4750000
Malaysia,MYS,2002,9850000,97900000,8780000,4410000,9590000,28530000,36710000,57810000,22480000,300000,4590000
Malaysia,MYS,2003,10520000,96890000,9480000,3830000,10520000,29680000,39080000,61230000,24230000,300000,4700000
Malaysia,MYS,2004,11150000,105660000,10030000,4130000,10780000,33430000,41990000,68170000,25830000,270000,5240000
Malaysia,MYS,2005,11410000,108820000,10620000,4410000,11060000,35260000,41740000,76840000,26480000,320000,5050000
Malaysia,MYS,2006,11210000,97130000,11600000,4580000,12240000,38050000,39990000,81140000,25920000,790000,5480000
Malaysia,MYS,2007,11660000,103630000,12250000,6070000,12540000,43570000,42620000,87860000,25900000,830000,5420000
Malaysia,MYS,2008,12040000,99460000,13160000,5490000,13760000,43350000,44760000,98700000,26860000,840000,5310000
Malaysia,MYS,2009,10890000,117440000,13700000,5030000,13890000,29710000,43870000,93260000,25040000,590000,5260000
Malaysia,MYS,2010,12060000,109240000,13980000,5640000,13620000,30550000,45280000,107880000,23940000,3280000,5930000
Malaysia,MYS,2011,12160000,-117070000,14760000,5150000,14840000,28620000,45750000,111340000,23330000,2780000,6820000
Malaysia,MYS,2012,12280000,-121800000,15150000,4430000,15670000,32070000,45570000,109740000,25630000,3180000,6490000
Malaysia,MYS,2013,11450000,-119090000,15900000,4560000,16890000,29190000,59760000,114540000,27930000,3160000,8720000
Malaysia,MYS,2014,11500000,-101090000,16490000,4200000,18070000,28700000,66879996,119740000,30140000,3080000,8670000
Malaysia,MYS,2015,11450000,-118230000,16850000,3990000,17840000,28970000,62900000,124020000,31370000,2700000,8900000
Malaysia,MYS,2016,11370000,72780000,17200000,4200000,19210000,29780000,64629996,119010000,29870000,1150000,8160000
Malaysia,MYS,2017,11040000,63220000,17540000,5390000,19730000,32580002,62270000,109830000,28640000,3050000,9310000
Malaysia,MYS,2018,10440000,69740000,17870000,3390000,20880000,35620000,62530000,125850000,27100000,3010000,9170000
Malaysia,MYS,2019,9740000,72130000,18190000,3370000,21780000,35260000,66620004,126010000,26480000,2700000,8840000
Malaysia,MYS,2020,9920000,65809996,18520000,4150000,24800000,32259998,51430000,137360000,25170000,2510000,3720000
Malaysia,MYS,2021,10610000,66610000,18830000,3970000,25890000,34930000,50070000,135300000,24530000,3070000,3060000
Malaysia,MYS,2022,10000000,64510004,19130000,4330000,26910000,36120000,55440000,144080000,23610000,3340000,4870000
