date,source,emissions
2014-01-01,total,314788.47
2015-01-01,total,318525.03
2016-01-01,total,314179.45
2017-01-01,total,316563.05
2018-01-01,total,320866.78
2019-01-01,total,330358.21
2020-01-01,total,323378.81
2021-01-01,total,325705.28
2014-01-01,net,64835.93
2015-01-01,net,74492.91
2016-01-01,net,98804.4
2017-01-01,net,73193.32
2018-01-01,net,79602.7
2019-01-01,net,115643.68
2020-01-01,net,
2021-01-01,net,
2014-01-01,energy,255079.75
2015-01-01,energy,256850.16
2016-01-01,energy,253850.16
2017-01-01,energy,252710.49
2018-01-01,energy,255231.55
2019-01-01,energy,259326.11
2020-01-01,energy,
2021-01-01,energy,
2014-01-01,industrial_processes,20235.4
2015-01-01,industrial_processes,22243.93
2016-01-01,industrial_processes,23746.04
2017-01-01,industrial_processes,24203.62
2018-01-01,industrial_processes,26697.07
2019-01-01,industrial_processes,32853.8
2020-01-01,industrial_processes,
2021-01-01,industrial_processes,
2014-01-01,agriculture,11095.67
2015-01-01,agriculture,10647.03
2016-01-01,agriculture,10711.36
2017-01-01,agriculture,11063.54
2018-01-01,agriculture,10690.29
2019-01-01,agriculture,9921.71
2020-01-01,agriculture,
2021-01-01,agriculture,
2014-01-01,waste,28377.66
2015-01-01,waste,28783.91
2016-01-01,waste,26565.41
2017-01-01,waste,28585.4
2018-01-01,waste,28247.87
2019-01-01,waste,28256.59
2020-01-01,waste,
2021-01-01,waste,
2014-01-01,lulucf,-249952.54
2015-01-01,lulucf,-244032.12
2016-01-01,lulucf,-215375.05
2017-01-01,lulucf,-243369.73
2018-01-01,lulucf,-241264.08
2019-01-01,lulucf,-214714.54
2020-01-01,lulucf,
2021-01-01,lulucf,
